trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13099080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-088,shp-71D-51,1,1
12898010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-088,shp-71D-51,1,1
12963020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71C-172,shp-71D-51,1,1
11936020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71C-169,shp-71D-51,1,1
12001070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-105,shp-71D-51,1,1
11817080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-082,shp-71D-51,1,1
12833080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-087,shp-71D-51,1,1
12137010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-089,shp-71D-51,1,1
11189010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-081,shp-71D-51,1,1
1123080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-082,shp-71D-51,1,1
12456070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-102,shp-71D-51,1,1
11718010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-081,shp-71D-51,1,1
11413080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-085,shp-71D-51,1,1
11524080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-080,shp-71D-51,1,1
12160020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-198,shp-71D-51,1,1
11219020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -209,shp-74-53,1,1
10085020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -210,shp-74-53,1,1
10411020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -201,shp-74-53,1,1
10069020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -211,shp-74-53,1,1
2023020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -205,shp-74-53,1,1
5343020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -212,shp-74-53,1,1
4913020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,89 -346,shp-74-53,1,1
8840020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -208,shp-74-53,1,1
4753020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -209,shp-74-53,1,1
3205020,74,3,OUTBOUND-BEECHWOOD-TILBURY,,0,74 -212,shp-74-53,1,1
